h4;;;;
0;25;50;75;100
1.3678588603792905;1.6256906776920517;1.7;1.7649313307146106;1.9112401479588583
1.1226468865440087;1.3352246324464523;1.4;1.44282084530407;1.567605955748333
1.0430760649075477;1.2365139308517732;1.3;1.334229669693109;1.4506051631209005
1.0438451309353687;1.2319922833912338;1.3;1.3390594807270466;1.446407705328877
0.9644300358768985;1.131707411259375;1.2;1.2495810255081767;1.3422090576170707
0.8850589770282512;1.0309298787798837;1.1;1.1664781924278789;1.23894354046084
0.96685947313872;1.11599365057511;1.2;1.300647289029736;1.3631474306832378
1.0492099815384437;1.1980721462836192;1.3;1.4363645181712545;1.4909514197452671
1.2106536454376295;1.3674774112718702;1.5;1.6812475783255223;1.7371835867799144
1.2913924813287034;1.4419159459704762;1.6;1.7937389358792206;1.869720285167263
1.5335626044690205;1.6927057388104052;1.9;2.0849772698693427;2.193023955476138
